category,subcategory,nudge,blogs
Abundance,"Abundance, money","Abundance is a feeling, it feels like that Thanksgiving picture of the cornucopia overflowing. Money is not the only thing that makes you abundant: friendship, experience, food, joy, dancing, family, free time, creativity, travel, and an innumerable amount of other qualities can make us feel rich in our life. In order to continue to attract abundance we can look at where in our lives we are already rich so that we can continue to expand and overflow. Gutsy Writer -Nicole Sacchitella",
Abundance,Abundance,"Life naturally produces more than enough. Plants make more than enough seeds, mothers make more than enough milk, there is more than enough water, air, soil, and energy for all beings on the planet. Scarcity is a fallacy because life is not scarce. When the feeling of scarcity comes up, remember your are a being of infinite potential, infinite imagination, infinite creativity, infinite energy and infinite abundance because you are a being born of an infinite universe. Gutsy Writer- Nicole Sacchitella",
Anger,Anger,"There is a lot in this world to get angry about. Pisses you off right? Makes you mad? Well, if seeing people do mean things or act violent make you want to kill them, then they won. If you want to stop the ping pong game of anger in this world you have to find a way to have compassion for the people that you think are the worst! It is not an easy task but if Jesus did it, so can you. Gutsy writer - Julie Cobb",
Anger,Anger,"Anger is natural and so is joy, each are seeds that blow in the wind of existence and sometimes take root in our own being. We nurture the seeds of anger by harboring it, holding on to it, and growing attached to it. Anger doesn't have to take root, especially if we are able to release it when it comes up and crowd out the soil of our being by watering the seeds of joy. Gutsy Writer -Nicole Sacchitella",
Anger,Anger,"In the name of love sometimes we are afraid to let ourselves get angry, but isn't it the most loving to honor how you feel and to be honest? If you really love someone let yourself be honest with them, if you really love yourself let yourself feel any emotion you have. Gutsy Writer- Nicole Sacchitella",
Anger,,"We all have anger. The difference is whether we learned to hold on to it, or let it go. If you have anger try finding a safe and constructive way to let go of it, that only involves you. Maybe screaming in the car or into a pillow. Letting go of anger for the sake of letting go of anger, makes room for what you want. Gutsy writer - Julie Cobb",
Anger,,"Animals shake off after they get into a fight. Shake off as if, they are letting go of the anger from the fight. If you feel angry, maybe try shaking off like an animal. Sometimes animals can show us the simple answer. Gutsy writer - Julie Cobb",
BOUNDARIES,,"If you think that someone around you has poor boundaries and annoys you, then guess what? Its actually you that has the poor boundaries. The only way to teach someone else to have boundaries, is to honor your own. Know how you feel and express or take action on it! Gutsy Writer - Julie Cobb",
BOUNDARIES,"BOUNDARIES,POWER, ","Often as kids we learn how to respond or react vs. feel. We talk about having good boundaries, but that takes knowing what you want. And knowing what you want taking knowing how you feel. Kids are the best at this. (""I am hungry and I want ice cream!"") As we move into our adult life, we tend to carry ideas, that actually have nothing to do with feeling.( ""I should work late, because my boss asked me to."") If you want an kind of true power in this world, you have to first know how you feel. Which statement is more powerful? ""I should work late, because my boss asked me to."" or "" I don't feel like working late, but I am going to"". One statement acknowledges how you feel and honors your body and they other does not. Even if the outcome is the same, the power you hold within it can be different! Gutsy Writer - Julie Cobb",
Boundaries,,There are only two things that you have control of in this lifetime. What you feel and what you want. Everything else is out of your control. So ask yourself if you are trying to control something outside of those two things. Gutsy writer - Julie Cobb,
